KPICategory,KPIMeasure,KPIYear,KPIValue
Answers,Reference Transactions via the Internet,2002,346
Collections,Items Processed,2001,16040
Visits,Electronic - Visits to the Catalogue on the Web,2003,96953
Population,Population Served,2012,92403
Collections,Items Ordered,2002,13833
Borrowing,Items Borrowed from Fort Saskatchewan,2001,9193
Borrowing,Items Lent to Other Libraries,2015,2342
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2010,134603
Borrowing,Items Lent to Fort Saskatchewan,2011,14970
Borrowing,Items Lent to Fort Saskatchewan,2010,11970
Visits,Patrons visiting the Bookmobile,2005,9830
Collections,Ebooks and Eaudiobooks owned/licensed by the Library,2015,13015
Training,Informal Technology Training Sessions,2013,23833
Training,Informal Technology Training Sessions,2011,28676
Borrowing,Physical Material Borrowed (Central and Bookmobile),2001,767225
Collections,Unique Titles Owned by the Library,2006,130247
Programs,Program Participants,2006,28395
Collections,Items Ordered,2006,20332
Open days,Days Open,2006,334
Borrowing,Items Borrowed from Fort Saskatchewan,2014,20165
Training,Formal Technology Training Sessions - number trained,2013,362
Borrowing,Items Borrowed from Other Libraries,2006,2400
Visits,Patrons visiting the Bookmobile,2011,16639
Visits,Electronic - Web Site Visits,2013,308975
Borrowing,Items Borrowed from Other Libraries,2004,1768
Training,Formal Technology Training Sessions - number of session,2003,294
Open days,Days Open,2007,337
Collections,Items Processed,2014,41132
Library use,Library Cards Purchased,2011,14313
Borrowing,Circulation of Library Materials Borrowed Per Capita,2006,11.31
Library use,Number of people reporting use of Library (County Survey),2006,53136
Internet,Patron Use of Public Computers,2002,34268
Visits,Electronic - Web Site Visits,2015,363458
Visits,Patrons visiting Central Library,2004,371810
Borrowing,Items Borrowed from Other Libraries,2003,1248
Population,Population Served,2014,93523
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2011,88447
Visits,Total Patron Visits,2001,422509
Borrowing,Items Lent to Fort Saskatchewan,2004,18511
Borrowing,Items Borrowed from Other Libraries,2009,2874
Collections,Items Catalogued,2005,10831
Borrowing,Items Lent to Fort Saskatchewan,2002,5188
Visits,Total Patron Visits,2003,588992
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2006,36644
Library use,Number of people reporting use of Library (County Survey),2009,37836
Visits,Total Patron Visits,2009,910106
Borrowing,Materials Used In-House,2009,216350
Training,Formal Technology Training Sessions - number trained,2010,72
Borrowing,Items Borrowed from Fort Saskatchewan,2002,10900
Collections,Library Materials Items Owned by the Library,2013,251115
Collections,Items Catalogued,2004,8516
Programs,Program Participants,2003,24809
Volunteers,Volunteer Hours,2010,3140
Collections,Unique Titles Owned by the Library,2001,126433
Answers,Reference Questions/Transactions - Total,2008,80339
Visits,Patrons visiting the Bookmobile,2010,15249
Visits,Total Patron Visits,2005,691883
Training,Formal Technology Training Sessions - number trained,2008,106
Population,Population Served,2002,75226
Borrowing,Circulation of Library Materials Borrowed Per Capita,2001,11
Borrowing,Circulation of Library Materials Borrowed Per Capita,2005,11.23
Borrowing,Items Borrowed from Fort Saskatchewan,2010,15236
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2015,229867
Collections,Online/Electronic Magazines/Newspapers (Zinio),2015,140
Borrowing,Items Borrowed from Other Libraries,2011,2330
Visits,Total Patron Visits,2011,1175830
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2009,61131
Answers,Staff-Mediated Customer Service/ Information Transactions,2001,19396
Answers,Reference Questions/Transactions - Total,2009,96103
Collections,Items Catalogued,2001,8212
Library use,Library Cards Purchased,2012,14531
Training,Formal Technology Training Sessions - number of session,2011,105
Visits,Electronic - Visits to the Catalogue on the Web,2015,689450
Training,Informal Technology Training Sessions,2004,3866
Collections,Items Catalogued,2008,13160
Internet,Use of wireless internet,2008,23400
Collections,Items Processed,2013,44486
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2006,348
Borrowing,Items Lent to Fort Saskatchewan,2013,13919
Programs,Program Participants,2012,43525
Library use,Library Cards Purchased,2007,12340
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2002,342
Visits,Patrons visiting the Bookmobile,2008,11375
Programs,Program Participants,2001,24762
Library use,Library Cards Purchased,2001,10788
Answers,Reference Questions/Transactions - Total,2015,107113
Internet,Patron Use of Public Computers,2010,62841
Collections,Library Materials Items Owned by the Library,2001,181431
Population,Population Served,2009,87988
Borrowing,Items Borrowed from Other Libraries,2012,2231
Borrowing,Total Library Materials Used,2003,1027164
Library use,Library Cards Purchased,2005,12870
Collections,Items Processed,2007,29480
Internet,Patron Use of Public Computers,2008,71873
Borrowing,Items Lent to Fort Saskatchewan,2001,4291
Collections,Items Received,2008,22995
Collections,Items Received,2004,18363
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2003,323
Collections,Items Received,2015,39832
Borrowing,Materials Used In-House,2011,156447
Population,Population Served,2003,75949
Collections,Unique Titles Owned by the Library,2002,125000
Library use,Number of people reporting use of Library (County Survey),2008,53447
Borrowing,Items Borrowed from Fort Saskatchewan,2004,22817
Visits,Patrons visiting Central Library,2007,485270
Training,Informal Technology Training Sessions,2002,2139
Collections,Unique Titles Owned by the Library,2003,127363
Borrowing,Total Library Materials Used,2008,1237032
Visits,Electronic - Visits to the Catalogue on the Web,2001,34636
Collections,Unique Titles Owned by the Library,2015,183858
Population,Population Served,2006,82511
Borrowing,Total Library Materials Used,2005,1081151
Collections,Items Ordered,2008,22904
Borrowing,Items Borrowed from Fort Saskatchewan,2006,20453
Collections,Library Materials Items Owned by the Library,2006,164751
Borrowing,Items Lent to Other Libraries,2001,453
Volunteers,Volunteer Hours,2014,3694
Internet,Patron Use of Public Computers,2005,67200
Training,Formal Technology Training Sessions - number of session,2008,86
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2005,39005
Collections,Items Ordered,2015,36614
Library use,Number of people reporting use of Library (County Survey),2004,38754
Answers,Reference Transactions via the Internet,2008,1178
Borrowing,Items Borrowed from Fort Saskatchewan,2015,22890
Collections,Items Received,2002,15670
Borrowing,Items Borrowed from Fort Saskatchewan,2013,18250
Collections,Unique Titles Owned by the Library,2008,129567
Training,Formal Technology Training Sessions - number trained,2007,129
Visits,Patrons visiting Central Library,2008,455248
Visits,Electronic - Visits to the Catalogue on the Web,2002,71627
Collections,Items Ordered,2012,42291
Internet,Use of wireless internet,2010,25440
Collections,Items Ordered,2001,13171
Borrowing,Total Library Materials Used,2012,1615995
Answers,Staff-Mediated Customer Service/ Information Transactions,2003,22808
Collections,Library Materials Items Owned by the Library,2014,252763
Library use,Library Cards Purchased,2010,12853
Training,Formal Technology Training Sessions - number of session,2015,240
Library use,Library Cards Purchased,2009,12205
Training,Formal Technology Training Sessions - number trained,2003,572
Training,Formal Technology Training Sessions - number of session,2005,126
Collections,Online/Electronic Magazines/Newspapers (Zinio),2014,160
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2005,330
Visits,Electronic - Visits to the Catalogue on the Web,2010,254903
Answers,Staff-Mediated Customer Service/ Information Transactions,2007,22820
Training,Formal Technology Training Sessions - number trained,2011,111
Library use,Library Cards Purchased,2003,11999
Library use,Number of people reporting use of Library (County Survey),2011,58244
Volunteers,Volunteer Hours,2007,2306
Borrowing,Materials Used In-House,2008,211500
Borrowing,Total Library Materials Used,2009,1354251
Library use,Library Cards Purchased,2013,14630
Borrowing,Physical Material Borrowed (Central and Bookmobile),2003,868712
Volunteers,Volunteer Hours,2015,3922
Collections,Items Catalogued,2011,23786
Visits,Patrons visiting the Bookmobile,2007,11451
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2005,102498
Internet,Use of wireless internet,2007,5850
Borrowing,Materials Used In-House,2012,166512
Internet,Patron Use of Public Computers,2006,64710
Collections,Items Catalogued,2013,24575
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2014,221211
Borrowing,Items Lent to Other Libraries,2009,1577
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2008,52528
Library use,Number of people reporting use of Library (County Survey),2005,54267
Training,Formal Technology Training Sessions - number trained,2012,188
Borrowing,Total Library Materials Used,2001,919116
Answers,Reference Questions/Transactions - Total,2010,110395
Training,Formal Technology Training Sessions - number trained,2002,193
Visits,Patrons visiting the Bookmobile,2003,8623
Borrowing,Items Lent to Other Libraries,2014,1594
Collections,Unique Titles Owned by the Library,2007,124964
Answers,Reference Questions/Transactions - Total,2007,66243
Visits,Electronic - Web Site Visits,2005,122783
Visits,Patrons visiting Central Library,2001,317304
Open days,Days Open,2008,339
Collections,Items Received,2005,18551
Borrowing,Items Borrowed from Other Libraries,2015,3892
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2010,69345
Volunteers,Volunteer Hours,2006,2998
Programs,Program Participants,2004,24368
Visits,Patrons visiting the Bookmobile,2009,12034
Population,Population Served,2011,90723
Borrowing,Physical Material Borrowed (Central and Bookmobile),2006,932889
Borrowing,Laptop Loans,2015,64
Answers,Reference Transactions via the Internet,2012,1446
Visits,Total Patron Visits,2015,1607686
Answers,Staff-Mediated Customer Service/ Information Transactions,2002,20639
Volunteers,Volunteer Hours,2002,2680
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2004,96865
Answers,Staff-Mediated Customer Service/ Information Transactions,2005,22918
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2007,36572
Visits,Patrons visiting the Bookmobile,2002,7149
Training,Formal Technology Training Sessions - number trained,2009,118
Answers,Reference Questions/Transactions - Total,2005,67445
Borrowing,Circulation of Library Materials Borrowed Per Capita,2003,11.44
Visits,Patrons visiting the Bookmobile,2012,19271
Borrowing,Items Lent to Fort Saskatchewan,2003,7626
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2009,404
Borrowing,Circulation of Library Materials Borrowed Per Capita,2010,12.66
Visits,Electronic - Web Site Visits,2006,135815
Visits,Electronic - Visits to the Catalogue on the Web,2011,317593
Answers,Reference Questions/Transactions - Total,2004,295259
Training,Formal Technology Training Sessions - number trained,2005,128
Training,Formal Technology Training Sessions - number of session,2002,133
Visits,Electronic - Web Site Visits,2009,198597
Answers,Staff-Mediated Customer Service/ Information Transactions,2006,21662
Borrowing,Circulation of Library Materials Borrowed Per Capita,2004,11.28
Collections,Items Catalogued,2007,14082
Collections,Unique Titles Owned by the Library,2004,122900
Borrowing,Total Library Materials Used,2002,982262
Open days,Days Open,2015,349
Internet,Patron Use of Public Computers,2015,65201
Collections,Items Received,2006,28326
Programs,Program Participants,2005,23975
Collections,Items Ordered,2013,39453
Borrowing,Items Lent to Other Libraries,2005,778
Answers,Reference Questions/Transactions - Total,2002,283501
Collections,Items Catalogued,2006,12786
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2011,527
Visits,Patrons visiting the Bookmobile,2004,9155
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2008,363
Open days,Days Open,2004,339
Borrowing,Materials Used In-House,2007,157700
Training,Formal Technology Training Sessions - number trained,2004,382
Borrowing,Items Lent to Fort Saskatchewan,2014,20581
Borrowing,Laptop Loans,2014,77
Borrowing,Total Library Materials Used,2015,1491558
Borrowing,Items Lent to Other Libraries,2007,1392
Visits,Patrons visiting Central Library,2009,477405
Training,Formal Technology Training Sessions - number trained,2006,139
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2014,516
Internet,Use of wireless internet,2009,21050
Collections,Items Ordered,2007,23373
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2014,73563
Visits,Electronic - Web Site Visits,2003,115260
Programs,Program Participants,2010,27819
Borrowing,Items Lent to Other Libraries,2010,1330
Collections,Unique Titles Owned by the Library,2009,138483
Answers,Reference Transactions via the Internet,2013,1116
Answers,Reference Transactions via the Internet,2009,1357
Collections,Items Ordered,2009,34736
Borrowing,Physical Material Borrowed (Central and Bookmobile),2009,1106443
Answers,Reference Transactions via the Internet,2004,385
Volunteers,Volunteer Hours,2012,2912
Borrowing,Total Library Materials Used,2010,1322463
Training,Informal Technology Training Sessions,2003,3360
Borrowing,Items Borrowed from Other Libraries,2010,2422
Training,Informal Technology Training Sessions,2009,11111
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2013,514
Volunteers,Volunteer Hours,2005,3142
Borrowing,Physical Material Borrowed (Central and Bookmobile),2007,968934
Visits,Patrons visiting the Bookmobile,2014,23611
Borrowing,Items Borrowed from Fort Saskatchewan,2011,16891
Training,Formal Technology Training Sessions - number trained,2001,453
Collections,Unique Titles Owned by the Library,2012,173298
Answers,Reference Transactions via the Internet,2010,891
Borrowing,Items Lent to Other Libraries,2011,1571
Borrowing,Materials Used In-House,2002,168896
Answers,Staff-Mediated Customer Service/ Information Transactions,2013,31930
Library use,Library Cards Purchased,2015,14470
Training,Informal Technology Training Sessions,2005,4852
Borrowing,Circulation of Library Materials Borrowed Per Capita,2011,15.49
Collections,Items Catalogued,2009,16892
Borrowing,Items Lent to Other Libraries,2004,985
Population,Population Served,2004,80056
Collections,Items Catalogued,2015,21326
Library use,Number of people reporting use of Library (County Survey),2010,39844
Borrowing,Items Borrowed from Other Libraries,2002,843
Collections,Electronic items Owned or Licensed by the Library,2015,13632
Collections,Items Processed,2002,16247
Collections,Items Ordered,2014,39094
Volunteers,Volunteer Hours,2009,3636
Programs,Program Participants,2007,25424
Borrowing,Total Library Materials Used,2014,1475400
Borrowing,Items Lent to Fort Saskatchewan,2005,9228
Borrowing,Circulation of Library Materials Borrowed Per Capita,2015,15.6
Answers,Reference Transactions via the Internet,2005,670
Training,Informal Technology Training Sessions,2001,1873
Answers,Reference Transactions via the Internet,2014,1358
Visits,Total Patron Visits,2004,617729
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2009,102392
Collections,Items Catalogued,2003,6795
Visits,Patrons visiting Central Library,2012,575669
Collections,Items Received,2014,40438
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2007,352
Internet,Use of wireless internet,2013,98126
Visits,Total Patron Visits,2002,523628
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2010,525
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2001,48923
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2012,144947
Library use,Library Cards Purchased,2014,14448
Training,Formal Technology Training Sessions - number of session,2007,119
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2002,42081
Answers,Staff-Mediated Customer Service/ Information Transactions,2012,39956
Collections,Items Received,2013,43377
Open days,Days Open,2009,338
Borrowing,Materials Used In-House,2015,121200
Training,Formal Technology Training Sessions - number of session,2004,194
Training,Formal Technology Training Sessions - number of session,2012,181
Internet,Patron Use of Public Computers,2014,77219
Visits,Patrons visiting the Bookmobile,2013,21226
Visits,Electronic - Web Site Visits,2014,374900
Answers,Reference Transactions via the Internet,2007,1213
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2012,562
Internet,Patron Use of Public Computers,2003,43680
Visits,Electronic - Visits to the Catalogue on the Web,2004,116894
Training,Formal Technology Training Sessions - number trained,2014,368
Programs,Program Participants,2002,26049
Visits,Electronic - Visits to the Catalogue on the Web,2014,609700
Answers,Staff-Mediated Customer Service/ Information Transactions,2008,17325
Internet,Patron Use of Public Computers,2009,69778
Collections,Items Received,2001,14024
Borrowing,Physical Material Borrowed (Central and Bookmobile),2013,1367191
Collections,Items Processed,2008,29907
Volunteers,Volunteer Hours,2008,2633
Training,Informal Technology Training Sessions,2008,9308
Collections,Library Materials Items Owned by the Library,2015,248914
Borrowing,Total Library Materials Used,2013,1597812
Collections,Items Received,2007,25375
Library use,Number of people reporting use of Library (County Survey),2012,57105
Borrowing,Circulation of Library Materials Borrowed Per Capita,2012,15.69
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2003,44497
Borrowing,Physical Material Borrowed (Central and Bookmobile),2008,1002577
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2011,122371
Visits,Patrons visiting Central Library,2011,569173
Library use,Library Cards Purchased,2002,10665
Population,Population Served,2007,84500
Internet,Use of wireless internet,2014,128257
Answers,Staff-Mediated Customer Service/ Information Transactions,2009,22504
Training,Informal Technology Training Sessions,2010,8432
Programs,Program Participants,2011,42576
Library use,Number of people reporting use of Library (County Survey),2001,44631
Training,Formal Technology Training Sessions - number of session,2009,117
Collections,Items Ordered,2011,37593
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2007,106173
Open days,Days Open,2002,321
Borrowing,Materials Used In-House,2001,143208
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2003,80396
Visits,Electronic - Web Site Visits,2001,62617
Answers,Staff-Mediated Customer Service/ Information Transactions,2014,34070
